frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
62,2340.0,[2216.741456422589 1246.0951357842473 2780.132899488777 1705.2512591743316],[2284.614013671875 1462.98974609375 2508.369384765625 1555.4332275390625],0.2518210709095001,UNKNOWN,0
63,2313.0,[1076.407230516833 1225.3194339919833 1695.1970114399828 1712.277092514239],[1303.9378662109375 1529.7225341796875 1464.4638671875 1601.6773681640625],0.4983619749546051,GX15OGJ,0.25780650950421435
63,2312.0,[2248.4020406388017 1485.1754732784725 2960.983079263465 2151.6145836019173],[2539.458984375 2005.990234375 2725.843994140625 2084.63818359375],0.4063802659511566,UNKNOWN,0
63,2340.0,[2223.6656224923536 1247.2946392858676 2789.086691211306 1694.9670513313822],[2258.56640625 1457.49365234375 2458.665283203125 1562.140380859375],0.27084487676620483,UNKNOWN,0
64,2312.0,[2252.9141090231915 1490.9557237135355 2963.1677263427327 2150.051277655722],[2535.6416015625 2006.7401123046875 2722.98046875 2088.82861328125],0.5891412496566772,MT51VSU,0.21297628769026306
64,2313.0,[1077.45525729956 1230.3072827424667 1696.780736711837 1716.782089864661],[1288.2393798828125 1535.1942138671875 1458.537841796875 1604.392333984375],0.3827960193157196,GX15OGJ,0.4200574783916527
65,2312.0,[2254.5699559411373 1496.059183103358 2964.4970272785145 2152.533920175489],[2535.8466796875 2018.39013671875 2717.469482421875 2092.953857421875],0.4671538174152374,UNKNOWN,0
65,2313.0,[1076.0399732398305 1234.5193473333825 1695.8055807151854 1721.6650076723172],[1297.0816650390625 1516.33154296875 1461.91796875 1596.335205078125],0.384121835231781,UNKNOWN,0
66,2312.0,[2257.2174888730997 1499.803028367959 2967.564588292652 2152.5353682943223],[2533.043212890625 2037.1229248046875 2726.069091796875 2101.763671875],0.6588019132614136,UNKNOWN,0
67,2312.0,[2260.4905607747564 1503.0686054195735 2971.0017261971993 2151.6087132708285],[2537.700439453125 2051.3544921875 2713.22705078125 2110.765625],0.49054834246635437,UNKNOWN,0
