frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
148,2308,2045.4855263098302 1264.1951638972535 2640.7875715843707 1769.65968668055,2253.3623046875 1585.38671875 2480.286865234375 1682.262451171875,0.4665508270263672,AP05JEO,0.3843800299511872
149,2308,2049.322640065736 1268.5386815660318 2646.909535821027 1776.8179687499987,2214.77001953125 1601.3753662109375 2487.11083984375 1679.9224853515625,0.5080561637878418,AP05JEO,0.4421779127284928
150,2308,2053.2909365589912 1273.5276715276468 2655.4077331384487 1785.024024972594,2248.32763671875 1611.8031005859375 2488.5791015625 1679.9205322265625,0.3403806686401367,AP05JEO,0.32940453141501497
151,2308,2055.0202091151764 1275.8315499157554 2659.9457192390014 1789.7078498120275,2301.740966796875 1603.0303955078125 2506.250732421875 1668.7911376953125,0.33183106780052185,IP05JEO,0.2777201379942564
152,2308,2049.1212769532663 1280.2657351482198 2657.0852663539695 1794.02411944173,2264.30078125 1605.9307861328125 2472.88671875 1676.47509765625,0.4677029550075531,AP05JEO,0.4019974921436193
153,2308,2043.9070284194931 1284.7465826104099 2656.168000657789 1800.5036295201303,2243.418701171875 1608.2620849609375 2468.76416015625 1678.2855224609375,0.45766785740852356,AP05JEO,0.4481899603391764
154,2308,2043.874276121294 1286.2455456319235 2661.907150775071 1803.823862844616,2277.557373046875 1652.2119140625 2476.15478515625 1721.677001953125,0.2989840507507324,UNKNOWN,0
155,2308,2047.29075988511 1290.5415610251544 2670.6865550117686 1809.2921148750133,2249.221435546875 1613.3067626953125 2484.449462890625 1716.5560302734375,0.41489607095718384,UNKNOWN,0
156,2308,2053.4763696555265 1300.960263693723 2673.173978805573 1820.4064615535117,2171.90380859375 1642.6219482421875 2450.676025390625 1726.9569091796875,0.3534539043903351,AP05JEO,0.6905007356233404
157,2308,2046.5426229250802 1302.7004380634507 2668.2020802595466 1823.427025947773,2203.044189453125 1643.93408203125 2488.258056640625 1727.35302734375,0.41263625025749207,AP05JEO,0.6490298387971205
158,2308,2046.6831469833035 1306.5843162112078 2669.1215658752626 1827.9071921876484,2267.1640625 1646.5697021484375 2493.631103515625 1722.0863037109375,0.45643535256385803,AP05JEQ,0.40239968648283286
159,2308,2046.1761677719112 1311.0065410483987 2670.7468388240413 1834.2148088964357,2292.730712890625 1622.45654296875 2493.96630859375 1707.471923828125,0.2577835023403168,AP05JEO,0.34916147765546285
160,2308,2055.4711593852694 1314.8767072825435 2673.915930128795 1838.5814257373117,2251.190185546875 1637.9859619140625 2492.14501953125 1727.8006591796875,0.4595853388309479,AP05JEO,0.29010279956035134
161,2308,2054.8894049508394 1319.6306236245648 2673.122703001846 1844.748965966666,2251.57275390625 1653.3758544921875 2499.455810546875 1736.1993408203125,0.6311906576156616,AP05JEO,0.3680688583963708
162,2308,2051.517665093434 1325.0420233947116 2674.3452271527553 1853.3391404364534,2201.9736328125 1678.2841796875 2471.49072265625 1743.7000732421875,0.40331918001174927,UNKNOWN,0
163,2308,2055.03836964342 1328.9426616446178 2678.6201623665474 1858.979306197173,2271.764404296875 1673.914794921875 2502.92578125 1744.4833984375,0.49907398223876953,AP05JEO,0.5253153107986374
164,2308,2060.413897073702 1333.0092560349376 2682.6407200461454 1866.1050196806495,2258.80224609375 1678.8201904296875 2487.832275390625 1741.1690673828125,0.3840726613998413,AP05JEO,0.3322313532121461
165,2308,2067.839641365402 1337.9507922676878 2686.5728609555918 1874.8921326482543,2194.48828125 1668.9833984375 2471.634033203125 1749.80810546875,0.4888002574443817,AP05JEO,0.2154384116761782
166,2308,2066.5721252411563 1343.196775128012 2684.2940229245683 1881.6753459426275,2259.6357421875 1682.8818359375 2496.931396484375 1755.855224609375,0.5269047021865845,AP05JEQ,0.22865599179452062
167,2308,2063.3187116250683 1349.3952482368484 2684.529811355568 1889.202502589186,2248.294921875 1684.9766845703125 2503.843017578125 1766.7410888671875,0.4137185215950012,AP05JEO,0.549994480358616
